SL No,Launch Date,Launch Vehicle,Orbit Type,Application,Remarks,Mission Name,Year
125,9/2/2023,PSLV-C57/Aditya-L1 Mission,Lunar,Planetary Observation,Launch successful,Aditya-L1,2023
124,7/14/2023,LVM3 M4 / Chandrayaan-3 Mission,Lunar,Planetary Observation,Launch successful,Chandrayaan-3,2023
115,6/23/2022,Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-24,2022
112,8/12/2021,GSLV-F10 / EOS-03 Mission,GTO (Geosynchronous Transfer Orbit),Earth Observation,Launch unsuccessful,EOS-03,2021
111,12/17/2020,PSLV-C50/CMS-01,GSO (Geosynchronous Orbit),Communication,Launch successful,CMS-01,2020
110,11/7/2020,PSLV-C49/EOS-01,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful,EOS-01,2020
109,1/17/2020,Ariane-5 VA-251,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-30,2020
108,12/11/2019,PSLV-C48/RISAT-2BR1,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful,RISAT-2BR1,2019
107,11/27/2019,PSLV-C47 / Cartosat-3 Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,Cartosat-3,2019
106,7/22/2019,GSLV-Mk III - M1 / Chandrayaan-2 Mission,Lunar,Planetary Observation,Launch successful,Chandrayaan2,2019
105,5/22/2019,PSLV-C46 Mission,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful,RISAT-2B,2019
103,2/6/2019,Ariane-5 VA-247,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,GSAT-31,2019
100,12/5/2018,Ariane-5 VA-246,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,GSAT-11 Mission,2018
99,11/29/2018,PSLV-C43 / HysIS Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,HysIS,2018
98,11/14/2018,GSLV Mk III-D2 / GSAT-29 Mission,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,GSAT-29,2018
97,4/12/2018,PSLV-C41/IRNSS-1I,GSO (Geosynchronous Orbit),Navigation,Launch successful,IRNSS-1I,2018
96,3/29/2018,GSLV-F08/GSAT-6A Mission,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-6A,2018
95,1/12/2018,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,INS-1C,2018
94,1/12/2018,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,Microsat,2018
93,1/12/2018,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,Cartosat-2 Series Satellite,2018
91,6/29/2017,Ariane-5 VA-238,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,GSAT-1 7,2017
90,6/23/2017,PSLV-C38 / Cartosat-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,Cartosat-2 Series Satellite,2017
89,6/5/2017,GSLV Mk III-D1/GSAT-19 Mission,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-19,2017
88,5/5/2017,GSLV-F09 / GSAT-9,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-9,2017
87,2/15/2017,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,Cartosat -2 Series Satellite,2017
86,2/15/2017,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,INS-1A,2017
85,2/15/2017,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful,INS-1B,2017
84,12/7/2016,PSLV-C36 / RESOURCESAT-2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,RESOURCESAT-2A,2016
83,10/6/2016,Ariane-5 VA-231,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-18,2016
82,9/26/2016,PSLV-C35 / SCATSAT-1,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,Launch successful,SCATSAT-1,2016
81,9/8/2016,GSLV-F05 / INSAT-3DR,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",Launch successful,INSAT-3DR,2016
80,6/22/2016,PSLV-C34 / CARTOSAT-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful,CARTOSAT-2 Series Satellite,2016
79,4/28/2016,PSLV-C33/IRNSS-1G,GEO,Navigation,Launch successful,IRNSS-1G,2016
78,3/10/2016,PSLV-C32/IRNSS-1F,GEO,Navigation,Launch successful,IRNSS-1F,2016
77,1/20/2016,PSLV-C31/IRNSS-1E,GSO (Geosynchronous Orbit),Navigation,Launch successful,IRNSS-1E,2016
76,11/11/2015,Ariane-5 VA-227,GEO,"Communication, Navigation",Launch successful,GSAT-15,2015
74,8/27/2015,GSLV-D6,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful,GSAT-6,2015
73,3/28/2015,PSLV-C27/IRNSS-1D,GSO (Geosynchronous Orbit),Navigation,Launch successful,IRNSS-1D,2015
71,12/7/2014,Ariane-5 VA-221,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-16,2014
70,10/16/2014,PSLV-C26/IRNSS-1C,GEO,Navigation,Launch successful,IRNSS-1C,2014
69,4/4/2014,PSLV-C24/IRNSS-1B,GSO (Geosynchronous Orbit),Navigation,Launch successful,IRNSS-1B,2014
68,1/5/2014,GSLV-D5/GSAT-14,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-14,2014
67,11/5/2013,PSLV-C25,Martian,Planetary Observation,Launch successful,Mars Orbiter Mission Spacecraft,2013
66,8/30/2013,Ariane-5 VA-215,GSO (Geosynchronous Orbit),Communication,Launch successful,GSAT-7,2013
65,7/26/2013,Ariane-5 VA-214,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",Launch successful,INSAT-3D,2013
64,7/1/2013,PSLV-C22/IRNSS-1A,GSO (Geosynchronous Orbit),Navigation,Launch successful,IRNSS-1A,2013
63,2/25/2013,PSLV-C20/SARAL,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",Launch successful,SARAL,2013
62,9/29/2012,Ariane-5 VA-209,GEO,"Communication, Navigation",Launch successful,GSAT-10,2012
